"","GP.01","GP.15","052410EH","198","191","192","GP.212.313","213","GP.09","92.alive.8124114","11.22.GP.2011.collared","GP.12","GP.13","GP.04","GP.07","125","161","202","200","GP.08","GP.10","193","100309MS","184","176","186","188","189","196","201","203","GP.03","GP.17","011210MM","119","165.05.Voyageurs","185","170","194","215","187","212","11.23.GP.2011.collared","210","GP.02","206","204","205","214","GP.06","11.17.GP.2011.collared","197.4","GP.05","GP.14","183"
"103744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1038874",1,3,0,1,0,0,0,1,27,0,26,0,3,7,8,0,0,1,3,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,3,14,0,119,2,244,0,0,0,0,5,54,1,22,21,0
"104021",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"104144",3,11,0,4,2,6,0,1,3,0,8,1,3,0,3,5,1,7,5,2,0,3,1,3,0,4,2,8,5,7,3,5,5,0,0,1,2,0,4,1,1,1,0,6,2,1,2,3,3,0,0,0,4,3,0
"104272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1043378",2,5,3,7,8,8,1,10,10,1,7,1,8,9,3,4,6,2,8,3,5,8,5,5,0,2,10,13,2,6,8,6,1,2,13,3,10,6,6,6,2,1,4,5,6,7,6,5,0,1,10,4,5,4,4
"104394",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"104439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0
"104551",0,1,3,0,4,0,0,0,2,0,0,4,0,4,1,2,0,0,0,0,1,0,0,6,0,1,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,1,1,11,0,0,0,0,0,0,0,0,1,2,2
"1046624",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1046979",1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104752",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1049387",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105028",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1050898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"105099",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105109",1,8,1,0,1,2,0,3,5,0,8,9,0,1,0,1,2,6,1,4,23,9,32,3,5,11,0,6,0,11,8,20,19,0,5,4,5,0,2,10,7,6,4,19,2,1,1,0,4,0,1,1,2,3,0
"105287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"105411",4,6,2,0,2,2,0,4,3,1,0,4,2,1,8,2,2,2,6,0,3,1,0,0,3,0,1,1,1,4,4,2,2,10,1,6,3,1,2,3,2,1,4,1,1,3,2,0,8,2,0,4,3,6,5
"105434",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"105514",0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"105659",2,0,1,1,1,2,2,0,3,0,1,2,5,1,2,1,2,0,0,0,4,2,1,6,0,4,0,4,2,6,0,6,0,1,3,2,2,0,0,2,3,0,5,1,0,0,1,0,1,0,2,0,1,5,9
"105672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
