,kingdom,phylum,class,order,family,genus,species
New.CleanUp.ReferenceOTU5800,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,,
New.CleanUp.ReferenceOTU5801,Unassigned,,,,,,
New.CleanUp.ReferenceOTU5806,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__
New.CleanUp.ReferenceOTU5807,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__[Ruminococcus],s__gnavus
New.CleanUp.ReferenceOTU5804,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU5805,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU37351,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU37352,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Gracilibacteraceae,g__,s__
New.CleanUp.ReferenceOTU37353,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__
New.CleanUp.ReferenceOTU30885,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU30889,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__
New.CleanUp.ReferenceOTU15084,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU2183,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__5-7N15,s__
New.CleanUp.ReferenceOTU21475,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU2181,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__
New.CleanUp.ReferenceOTU2187,k__Bacteria,p__Tenericutes,c__Mollicutes,o__RF39,f__,g__,s__
New.CleanUp.ReferenceOTU28291,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU28294,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU4552,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,,,
New.CleanUp.ReferenceOTU24896,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU20994,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__
New.CleanUp.ReferenceOTU20995,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__
New.CleanUp.ReferenceOTU95485,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__
New.CleanUp.ReferenceOTU95481,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__
New.CleanUp.ReferenceOTU13310,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,,,
New.CleanUp.ReferenceOTU3774,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__5-7N15,s__
New.CleanUp.ReferenceOTU3773,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__,s__
New.CleanUp.ReferenceOTU26492,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU26497,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU25763,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU25761,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU94355,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__5-7N15,s__
New.CleanUp.ReferenceOTU94351,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__S24-7,g__,s__
New.CleanUp.ReferenceOTU19399,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU27726,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU27727,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU67989,Unassigned,,,,,,
New.CleanUp.ReferenceOTU4207,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira,s__
New.CleanUp.ReferenceOTU4206,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU26234,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU26231,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU26232,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU18209,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,,
New.CleanUp.ReferenceOTU18201,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
New.CleanUp.ReferenceOTU83611,Unassigned,,,,,,
New.CleanUp.ReferenceOTU92351,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__
New.CleanUp.ReferenceOTU92350,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__5-7N15,s__
